ERR_accession	Sample_Alias	Cluster
ERR12025074	1797	high-NRCD
ERR12025075	1798	low-NRCD
ERR12025076	1799	low-NRCD
ERR12025080	1803	high-NRCD
ERR12025082	1807	high-NRCD
ERR12025087	1813	low-NRCD
ERR12025090	1816	low-NRCD
ERR12025094	1824	high-NRCD
ERR12025098	1831	low-NRCD
ERR12025099	1832	low-NRCD
ERR12025100	1834	low-NRCD
ERR12025105	1841	low-NRCD
ERR12025109	1846	high-NRCD
ERR12025073	1796	low-NRCD
ERR12025077	1800	low-NRCD
ERR12025078	1801	low-NRCD
ERR12025079	1802	low-NRCD
ERR12025084	1809	low-NRCD
ERR12025089	1815	low-NRCD
ERR12025091	1819	high-NRCD
ERR12025096	1827	low-NRCD
ERR12025102	1837	high-NRCD
ERR12025103	1838	high-NRCD
ERR12025106	1843	low-NRCD
ERR12025107	1844	high-NRCD
ERR12025110	1847	high-NRCD
ERR12025111	1848	low-NRCD
ERR12025081	1805	low-NRCD
ERR12025083	1808	low-NRCD
ERR12025085	1811	low-NRCD
ERR12025086	1812	low-NRCD
ERR12025088	1814	low-NRCD
ERR12025092	1820	high-NRCD
ERR12025093	1823	low-NRCD
ERR12025095	1826	high-NRCD
ERR12025097	1830	low-NRCD
ERR12025101	1835	low-NRCD
ERR12025104	1840	high-NRCD
ERR12025108	1845	high-NRCD
